TeamID;NAME;GROUP;POINTS;MATCHES;WINS;N;LOSSES
1;Guinee equatoriale;A;7;3;2;1;0
2;Nigeria;A;7;3;2;1;0
3;Cote d'ivoire;A;3;3;1;0;2
4;Guinee bissao;A;0;3;0;0;3
5;Cap vert;B;7;3;2;1;0
6;Egypte;B;3;3;0;3;0
7;Ghana;B;2;3;0;2;1
8;Mozambique;B;2;3;0;2;1
9;Senegal;C;9;3;3;0;0
10;Cameroun;C;4;3;1;1;1
11;Guinee;C;4;3;1;1;1
12;Gambie;C;0;3;0;0;3
13;Angola;D;7;3;2;1;0
14;Burkina faso;D;4;3;1;1;1
15;Mauritanie;D;3;3;1;0;2
16;Algerie;D;2;3;0;2;1
17;Mali;E;5;3;1;2;0
18;Afrique du sud;E;4;3;1;1;1
19;Namibie;E;4;3;1;1;1
20;Tunisie;E;2;3;0;2;1
21;Maroc;F;7;3;2;1;0
22;RD congo;F;3;3;0;3;0
23;Zambie;F;2;3;0;2;1
24;Tanzanie;F;2;3;0;2;1
