TeamID;NAME;GROUP;POINTS;MATCHES;WINS;LOSSES;DRAWS(N)
1;Cameroun;A;7;3;2;0;1
2;Burkina Faso;A;4;3;1;1;1
3;Cap Vert;A;4;3;1;1;1
4;Ethiopie;A;1;3;0;2;1
5;Senegale;B;5;3;1;0;2
6;Guinee;B;4;3;1;1;1
7;Malawi;B;4;3;1;1;1
8;Zimbabwe;B;3;3;1;2;0
9;Maroc;C;7;3;2;0;1
10;Gabon;C;5;3;1;0;2
11;Comores;C;3;3;1;2;0
12;Ghana;C;1;3;0;2;1
13;Nigeria;D;9;3;3;0;0
14;Egypte;D;6;3;2;1;0
15;soudan;D;1;3;0;2;1
16;Guinee bissao;D;1;3;0;2;1
17;cote d'ivoire;E;7;3;2;0;1
18;Guinee equatoriale;E;6;3;2;1;0
19;Sierra Leone;E;2;3;0;1;2
20;Algerie;E;1;3;0;2;1
21;Mali,;F;7;3;2;0;1
22;Gambie;F;7;3;2;0;1
23;Tunisie;F;3;3;1;2;0
24;Mauritanie;F;0;3;0;3;0
